LABEL,TRANSLATION
----------------------------------,INSTALL-------------------------
"Proceed","Proceed"
"MySQL","MySQL"
"Host","Host"
"Database","Database"
"Username","Username"
"Password","Password"
"Language","Language"
"Theme","Theme"
"Updates","Updates"
"Settings file is ready, proceed to setup database.","Settings file is ready, proceed to setup database."
"Default user language","Default user language"
"After installation you can change theme by editing pons-settings.php file.","After installation you can change theme by editing pons-settings.php file."
"Install AdAdmin","Install AdAdmin"
----------------------------------,VARIOUS-------------------------
"NOTICE","NOTICE"
"Close","Close"
"OK","OK"
"CANCEL","CANCEL"
"YES","YES"
"NO","NO"
"Are you sure to delete the file now?","Are you sure to delete the file now?"
"Do you confirm to delete the item?","Do you confirm to delete the item?"
"You don't have selected any item to delete.","You don't have selected any item to delete."
"Do you confirm to delete the selected items?","Do you confirm to delete the selected items?"
"Config","Config"
"Ad Server","Ad Server"
----------------------------------,LOGIN PAGE-------------------------
"AdAdmin login page","AdAdmin login page"
"user","user"
"password","password"
"forgot password?","Forgot password?"
"Logout","Logout"
"Login","Login"
"Sign in","Sign in"
"Support","Support"
----------------------------------,RESET PASSWORD---------------------
"Insert your email to reset your password","Insert your email to reset your password"
"Reset password","Reset password"
"Hi, <br>your username is <b>%u</b> and to reset your password click here: <br><a href='%s'>%s</a> <br>Thank you.","Hi, <br>your username is <b>%u</b> and to reset your password click here: <br><a href='%s'>%s</a> <br>Thank you."
"Email","Email"
"New password","New password"
"Repeat password","Repeat password"
"Sorry, email not found","Sorry, email not found"
"Check your email for reset link","Check your email for reset link"
"Choose your new password","Choose your new password"
"Password mismatch","Password mismatch"
"Go back and use your new password","Go back and use your new password"
"User not found","User not found"
----------------------------------,SIGN IN----------------------------
"New account","New account"
"User","User"
"Please check your email to confirm email address.","Please check your email to confirm email address."
"User created, now you can login.","User created, now you can login."
"Check code not found or user already confirmed.","Check code not found or user already confirmed."
"Email already used. <a href='%s'>Password recovery?</a>","Email already used. <a href='%s'>Password recovery?</a>"
"Not a valid email.","Not a valid email."
"Please, complete mandatory fields.","Please, complete mandatory fields."
"Username already used. <a href='%s'>Password recovery?</a>","Username already used. <a href='%s'>Password recovery?</a>"
"Confirm email address","Confirm email address"
"Hi,<br>to confirm your email address click here: <br><a href='%s'>%s</a> <br>Thank you.","Hi,<br>to confirm your email address click here: <br><a href='%s'>%s</a> <br>Thank you."
"Error","Error"
----------------------------------,DASHBOARD LIST-------------------------
"Dashboard","Dashboard"
"Today","Today"
"Last week","Last week"
"Last month","Last month"
"Your ver. / Last ver.","Your ver. / Last ver."
"Need help? Contact support.","Need help? Contact support."
"Open documentation.","Open documentation."
"Value","Value"
"Top sites","Top sites"
"Data for selected period and website","Data for selected period and website"
"Top positions","Top positions"
"Top banners","Top banners"
"Ad name","Ad name"
"Site info for %s","Site info for %s"
"Top positions for %s","Top positions for %s"
"Top banners for %s","Top banners for %s"
"Number of views today, not affected by date filter. Variation calculated with yesterday","Number of views today, not affected by date filter. Variation calculated with yesterday"
"Number of views in the last 7 days, not affected by date filter. Variation calculated with previous 7 days","Number of views in the last 7 days, not affected by date filter. Variation calculated with previous 7 days"
"Number of views in the last 30 days, not affected by date filter. Variation calculated with previous 30 days","Number of views in the last 30 days, not affected by date filter. Variation calculated with previous 30 days"
"Number of clicks today, not affected by date filter. Variation calculated with yesterday","Number of clicks today, not affected by date filter. Variation calculated with yesterday"
"Number of clicks in the last 7 days, not affected by date filter. Variation calculated with previous 7 days","Number of clicks in the last 7 days, not affected by date filter. Variation calculated with previous 7 days"
"Number of clicks in the last 30 days, not affected by date filter. Variation calculated with previus 30 days","Number of clicks in the last 30 days, not affected by date filter. Variation calculated with previus 30 days"
"Money earned today, not affected by date filter, Variation calculated with yesterday","Money earned today, not affected by date filter, Variation calculated with yesterday"
"Money earned in the last 7 days, not affected by date filter. Variation is calculated with previous 7 days","Money earned in the last 7 days, not affected by date filter. Variation is calculated with previous 7 days"
"Money earned in the last 30 days, not affected by date filter. Variation is calculated with previous 30 days","Money earned in the last 30 days, not affected by date filter. Variation is calculated with previous 30 days"
"Data is filtered by dates and website","Data is filtered by dates and website"
"Data is filtered by dates and website. Ecpm is dinamically calculated as Total money / Total pageviews * 1000","Data is filtered by dates and website. Ecpm is dinamically calculated as Total money / Total pageviews * 1000"
----------------------------------,BANENR LIST-------------------------
