LABEL,TRANSLATION
----------------------------------,INSTALL-------------------------
"Proceed","Procedi"
"MySQL","MySQL"
"Host","Host"
"Database","Database"
"Username","Utente"
"Password","Password"
"Language","Lingua"
"Theme","Tema"
"Updates","Aggiornamenti"
"Settings file is ready, proceed to setup database.","Il file delle impostazioni è pronto, procedi per preparare il databasae."
"Default user language","Lingua di default"
"After installation you can change theme by editing pons-settings.php file.","Dopo l'installazione puoi cambiare tema editando il file pons-settings.php."
"Install AdAdmin","Installazione AdAdmin"
----------------------------------,VARIOUS-------------------------
"NOTICE","AVVISO"
"Close","Chiudi",
"OK","OK",
"CANCEL","ANNULLA",
"YES","SI",
"NO","NO",
"Are you sure to delete the file now?","Sei sicuro di cancellare il file ora?",
"Do you confirm to delete the item?","Confermi la cancellazione?",
"You don't have selected any item to delete.","Non hai selezionato alcun elemento da eliminare."
"Do you confirm to delete the selected items?","Cancello i selezionati?"
"Config","Configura"
"Ad Server","Ad Server"
----------------------------------,LOGIN PAGE-------------------------
"AdAdmin login page","AdAdmin pagina di login"
"user","utente"
"password","password"
"forgot password?","Password dimenticata?"
"Logout","Esci"
"Login","Entra"
"Sign in","Sign in"
"Support","Supporto"
----------------------------------,RESET PASSWORD---------------------
"Insert your email to reset your password","Inserisci la tua email per fare il reset della password"
"Reset password","Resetta la password"
"Hi, <br>your username is <b>%u</b> and to reset your password click here: <br><a href='%s'>%s</a> <br>Thank you.","Ciao, <br>il tuo nome utente è <b>%u</b> e per resettare la password clicca qui: <br><a href='%s'>%s</a> <br>Grazie."
"Email","Email"
"New password","Nuova password"
"Repeat password","Ripeti password"
"Sorry, email not found","Mi spiace, email non trovata"
"Check your email for reset link","Controlla la tua casella di posta per il link di reset"
"Choose your new password","Scegli una  nuova password"
"Password mismatch","Le due password non coincidono"
"Go back and use your new password","Vai alla home e usa la nuova password"
"User not found","Utente non trovato"
----------------------------------,SIGN IN----------------------------
"New account","Nuovo utente"
"User","Utente"
"Please check your email to confirm email address.","Controlla la tua casella di posta per verificare l'indirizzo email."
"User created, now you can login.","Utente creato, ora puoi fare login."
"Check code not found or user already confirmed.","Codice di verifica non trovato o utente già verificato."
"Email already used. <a href='%s'>Password recovery?</a>","Email già usata. <a href='%s'>Recupero password?</a>"
"Not a valid email.","Email non valida."
"Please, complete mandatory fields.","Per favore completa i campi obbligatori."
"Username already used. <a href='%s'>Password recovery?</a>","Username già in uso. <a href='%s'>Recupero password?</a>"
"Confirm email address","Conferma il tuo indirizzo email"
"Hi,<br>to confirm your email address click here: <br><a href='%s'>%s</a> <br>Thank you.","Ciao,<br>per confermare il tuo indirizzo clicca qui: <br><a href='%s'>%s</a> <br>Thank you."
"Error","Errore"
----------------------------------,DASHBOARD LIST-------------------------
"Dashboard","Dashboard"
"Today","Oggi"
"Last week","Ultima settimana"
"Last month","Ultimi 30 giorni"
"Your ver. / Last ver.","La tua ver. / Ultima ver."
"Need help? Contact support.","Hai bisogno di aiuto? Contatta il supporto."
"Open documentation.","Apri la documentazione."
"Value","Valore"
"Top sites","Classifica siti"
"Data for selected period and website","Dati per il periodo e il sito selezionati"
"Top positions","Classifica posizioni"
"Top banners","Classifica banner"
"Ad name","Nome banner"
"Site info for %s","Informazioni per il sito %s"
"Top positions for %s","Classifica posizioni su %s"
"Top banners for %s","Classifica banner su %s"
"Number of views today, not affected by date filter. Variation calculated with yesterday","Numero di visualizzazioni oggi, non viene modificato dai filtri. La variazione è calcolata rispetto a ieri"
"Number of views in the last 7 days, not affected by date filter. Variation calculated with previous 7 days","Numero di visualizzazioni negli ultimi 7 giorni, non modificato dai filtri. La variazione è calcolata rispetto ai 7 giorni precedenti."
"Number of views in the last 30 days, not affected by date filter. Variation calculated with previous 30 days","Numero di visualizzazioni negli ultimi 30 giorni, non modificato dai filtri. La variazione è calcolata rispetto ai 30 giorni precedenti."
"Number of clicks today, not affected by date filter. Variation calculated with yesterday","Numero di click oggi, non modificato dai filtri. La variazione è calcolata rispetto a ieri."
"Number of clicks in the last 7 days, not affected by date filter. Variation calculated with previous 7 days","Numero di click negli ultimi 7 giorni, non modificato dai filtri. La variazione è calcolata rispetto ai 7 giorni precedenti."
"Number of clicks in the last 30 days, not affected by date filter. Variation calculated with previus 30 days","Numero di click negli ultimi 30 giorni, non modificato dai filtri. La variazione è calcolata rispetto ai 30 giorni precedenti"
"Money earned today, not affected by date filter, Variation calculated with yesterday","Soldi guadagnati oggi, non modificato dai filtri, la variazione è calcolata rispetto a ieri."
"Money earned in the last 7 days, not affected by date filter. Variation is calculated with previous 7 days","Soldi guadagnati negli ultimi 7 giorni, non modificato dai filtri, la variazione è calcolata rispetto ai 7 giorni precedenti."
"Money earned in the last 30 days, not affected by date filter. Variation is calculated with previous 30 days","Soldi guadagnati negli ultimi 30 giorni, non modificato dai filtri, la variazione è calcolata rispetto ai 307 giorni precedenti."
"Data is filtered by dates and website","Ai dati è applicato il filtro della data e del sito selezionato"
"Data is filtered by dates and website. Ecpm is dinamically calculated as Total money / Total pageviews * 1000","Ai dati è applicato il filtro della data e del sito selezionato. L'Ecpm è calcolato dinamicamente come Soldi totali / Visualizzazioni totali * 1000"
----------------------------------,BANENR LIST-------------------------
"Do you confirm to delete the selected banners?","Confermi la cancellazione dei banner selezionati?"
"Go","Riprendi"
"Pause","Pausa"
"analyzing data stream","recupero dati in tempo reale"
"realtime data","dati in tempo reale"
"restarting...","attendi..."
"pausing...","attendi..."
"Filter","Filtra"
"Find","Cerca"
"Add","Aggiungi"
"Delete selected","Cancella selezionati"
"Edit","Modifica"
"Stats","Statistiche"
"Make a copy","Duplica"
"Delete","Cancella"
"SERVING","ATTIVO"
"ENDED","FINITO"
"PAUSED","IN PAUSA"
"SCHEDULED","PROGRAMMATO"
"PENDING","IN APPROVAZIONE"
"NOT PAID","NON PAGATO"
"WAITING PAYMENT","ATTESO PAGAMENTO"
"No records found.","Nessun risultato trovato."
"Client and Campaign","Cliente e campagna"
"Banner","Banner"
"Banners","Banner"
"From","Da"
"To","A"
"days","giorni"
"Duration","Durata"
"Impressions","Visualizzazioni"
"Daily impressions","Visualizzazioni giornaliere"
"Daily","Al giorno"
"Clicks","Click"
"Impressions/clicks","Visualizzazioni/Click"
"CTR","CTR"
"Position","Posizione"
"Status","Status"
"You're not authorized.","Non sei autorizzato"
"You can't edit or delete a banner after payment.","Non puoi editare o eliminare un banner dopo il pagamento."
"Done.","Fatto."
"Deleted.","Cancellato."
"Delete selected items","Cancella gli elementi selezionati"
"Add new item","Aggiungi nuovo"
"Save draft","Salva bozza"
"Test banner output","Test visualizzazione banner"
----------------------------------,BANENR STATS-------------------------
"Day","Giorno"
"Views","Visualizzazioni"
"Totals","Totali"
"Start date","Data iniziale"
"End date","Data finale"
"CSV","CSV File"
"Download csv data","Scarica i dati csv"
----------------------------------,BANENR DETAIL-------------------------
"Title","Titolo"
"Total impressions","Numero di visualizzazioni totali"
"Max daily impressions","Massimo numero di visualizzazioni al giorno"
"Total click","Numero di click totali"
"Price","Prezzo"
"Alternative script","Script alternativo"
"Serving","Attivo"
"Ended","Finito"
"Active","Attivi"
"Inactive","Non attivi"
"Paused","In pausa"
"Pending","In sospeso"
"Not paid","Non pagato"
"New window","Nuova finestra"
"Same window","Stessa finestra"
"Target","Finestra target"
"Link","Link"
"Text copied to clipboard","Testo copiato"
"Media files","Media file"
"Campaign","Campagna"
"No reduction","Nessuna riduzione"
